                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2741,                 1.8874,                 1.1472,                0.89473,                0.58587,                0.85714,                0.55375,                 1.1116,                 1.7684,                  1.047,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.1321,                 1.0284,                 1.0784,                0.89212,                0.83007,                0.92256,                0.60556,                 1.0289,                0.86592,                 1.0227,             0.00078876,             0.00078876,             0.00078876
                      2,                 1.1249,                0.92167,                 1.0697,                0.91025,                0.85752,                0.92988,                0.60817,                 1.0494,                0.73141,                  1.042,              0.0011231,              0.0011231,              0.0011231
                      3,                 1.0976,                0.82858,                 1.0652,                0.86842,                0.85032,                0.92398,                0.61435,                 1.0192,                0.72669,                 1.0359,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.0763,                0.76896,                  1.055,                0.91787,                0.85963,                0.94051,                0.62424,                 1.0542,                0.62542,                 1.0399,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0667,                0.71639,                 1.0453,                0.86942,                0.83102,                0.93352,                 0.6244,                 1.0336,                0.70038,                 1.0358,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0741,                0.69027,                  1.046,                0.92425,                  0.905,                0.95749,                0.65267,                0.97962,                0.56669,                 1.0175,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0275,                0.65347,                 1.0316,                0.92262,                0.88215,                0.95499,                0.64566,                0.97916,                0.54823,                 1.0102,             0.00087875,             0.00087875,             0.00087875
                      8,                  1.018,                0.62918,                 1.0268,                0.91091,                0.91888,                0.96427,                0.66063,                0.96653,                0.53856,                 1.0047,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.0142,                0.61603,                 1.0183,                0.94843,                0.90683,                0.96418,                 0.6601,                0.98676,                0.51534,                 1.0088,               0.000755,               0.000755,               0.000755
                     10,                 1.0031,                0.60043,                 1.0221,                0.92482,                0.90493,                0.95926,                0.66129,                 0.9664,                0.50199,                0.99866,             0.00069313,             0.00069313,             0.00069313
                     11,                0.97948,                0.58059,                  1.005,                0.95735,                0.88901,                0.96765,                0.67903,                0.93484,                0.48419,                0.98733,             0.00063125,             0.00063125,             0.00063125
                     12,                0.96955,                0.56047,                 1.0079,                0.95433,                 0.9038,                0.96736,                0.67825,                0.93925,                 0.4739,                0.98973,             0.00056938,             0.00056938,             0.00056938
                     13,                0.95919,                0.54695,                 1.0067,                0.92572,                0.92337,                0.96519,                0.67469,                0.94426,                0.47447,                0.99402,              0.0005075,              0.0005075,              0.0005075
                     14,                0.96149,                0.54092,                0.99877,                0.94205,                0.93109,                0.97297,                0.68009,                0.93613,                0.46018,                0.98466,             0.00044563,             0.00044563,             0.00044563
                     15,                0.93017,                 0.5293,                0.99285,                0.94546,                0.91365,                0.96681,                0.68462,                0.91189,                0.44547,                0.97565,             0.00038375,             0.00038375,             0.00038375
                     16,                0.93821,                0.51636,                0.99307,                0.95045,                0.92484,                0.97197,                 0.6869,                0.91184,                0.43632,                0.97695,             0.00032188,             0.00032188,             0.00032188
                     17,                0.92998,                0.50801,                0.99351,                 0.9439,                0.92257,                0.97129,                0.68939,                0.90336,                0.42861,                0.97195,                0.00026,                0.00026,                0.00026
                     18,                0.90087,                0.49276,                0.97565,                0.95723,                0.91413,                0.97155,                0.68529,                 0.9001,                0.43141,                0.97496,             0.00019813,             0.00019813,             0.00019813
                     19,                0.90674,                0.49181,                0.98023,                0.95846,                0.90927,                 0.9712,                0.69027,                 0.8916,                0.42005,                0.96946,             0.00013625,             0.00013625,             0.00013625
