                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2323,                 1.2778,                   1.15,                0.89702,                 0.8561,                0.92952,                0.61894,                 1.0507,                0.68337,                 1.0239,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.1255,                0.75668,                 1.0743,                0.86796,                0.86245,                0.93282,                0.60862,                 1.0695,                0.75038,                 1.0402,             0.00078876,             0.00078876,             0.00078876
                      2,                 1.1434,                0.73876,                  1.081,                0.92119,                0.86886,                 0.9454,                  0.629,                 1.0343,                0.63535,                 1.0283,              0.0011231,              0.0011231,              0.0011231
                      3,                 1.0977,                0.71231,                 1.0642,                0.88736,                0.88076,                 0.9415,                0.62425,                   1.04,                0.61473,                  1.014,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.0887,                0.67502,                 1.0533,                 0.9109,                0.88485,                0.94564,                0.64233,                  1.025,                0.58663,                 1.0221,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0663,                0.64344,                 1.0476,                0.88574,                0.88026,                0.94344,                0.64358,                 1.0053,                0.56851,                 1.0103,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0659,                0.62945,                 1.0439,                0.94579,                 0.8793,                0.96336,                0.66339,                0.99452,                0.54313,                0.99734,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0294,                0.60276,                 1.0277,                0.93204,                0.90362,                 0.9608,                0.65515,                0.97953,                0.52316,                0.99006,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.0161,                0.58106,                 1.0232,                0.93766,                0.89818,                0.96391,                0.65432,                 1.0022,                0.51011,                0.99073,             0.00081688,             0.00081688,             0.00081688
                      9,                  1.007,                0.57055,                 1.0161,                0.94291,                0.91068,                0.95752,                0.65796,                0.98039,                 0.5053,                0.99642,               0.000755,               0.000755,               0.000755
                     10,                0.98187,                0.53592,                  1.003,                0.91358,                0.92715,                0.96107,                0.65349,                 1.0042,                 0.5022,                 1.0065,             0.00069313,             0.00069313,             0.00069313
                     11,                0.97873,                0.51845,                0.99161,                0.93086,                0.91996,                0.97033,                 0.6721,                0.95287,                0.47607,                0.98119,             0.00063125,             0.00063125,             0.00063125
                     12,                0.94781,                0.50535,                0.98597,                0.93944,                0.92644,                0.97124,                0.68168,                0.95276,                0.46669,                0.97856,             0.00056938,             0.00056938,             0.00056938
                     13,                 0.9506,                0.49607,                0.98337,                 0.9341,                0.91601,                0.96691,                0.68222,                0.95005,                0.46103,                0.97535,              0.0005075,              0.0005075,              0.0005075
                     14,                0.92746,                0.47173,                0.97962,                0.94985,                0.92587,                0.97246,                0.69484,                0.92124,                0.44085,                 0.9697,             0.00044563,             0.00044563,             0.00044563
                     15,                0.91066,                0.45931,                0.97175,                 0.9541,                0.93304,                0.97528,                0.69455,                 0.9075,                0.43153,                0.96394,             0.00038375,             0.00038375,             0.00038375
                     16,                0.89729,                0.45061,                0.96624,                0.93427,                0.94309,                0.97717,                0.70082,                0.90939,                0.42147,                0.96403,             0.00032188,             0.00032188,             0.00032188
                     17,                0.87827,                0.43301,                0.96013,                0.94172,                0.94142,                 0.9761,                0.70734,                 0.8981,                0.41782,                0.96069,                0.00026,                0.00026,                0.00026
                     18,                0.86234,                 0.4222,                0.95063,                0.94907,                0.93818,                0.97382,                0.70903,                0.89366,                0.41339,                0.95969,             0.00019813,             0.00019813,             0.00019813
                     19,                0.84336,                0.41292,                0.94639,                0.95866,                0.93179,                0.97874,                0.70733,                0.88058,                0.39734,                 0.9516,             0.00013625,             0.00013625,             0.00013625
