                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2111,                 1.2898,                 1.1959,                 0.7758,                0.80685,                0.88982,                0.58608,                 1.0604,                 1.0306,                 1.1179,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.1288,                0.74791,                 1.1536,                 0.8452,                0.76303,                0.87305,                0.54703,                 1.1944,                 1.1708,                 1.1933,             0.00078876,             0.00078876,             0.00078876
                      2,                 1.1407,                0.73128,                 1.1506,                0.81473,                0.85291,                0.91751,                0.59928,                  1.071,                0.79631,                 1.1247,              0.0011231,              0.0011231,              0.0011231
                      3,                 1.1058,                0.70561,                 1.1428,                 0.8938,                0.85915,                0.92987,                0.60709,                 1.0942,                0.67471,                 1.1303,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.0927,                0.66634,                 1.1304,                0.93594,                 0.8842,                0.95459,                0.64126,                 1.0348,                0.52401,                  1.096,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0629,                0.62306,                 1.1149,                0.90865,                 0.9051,                0.95443,                0.63943,                  1.024,                0.54456,                 1.0893,              0.0010025,              0.0010025,              0.0010025
                      6,                  1.057,                0.60321,                 1.1076,                0.90803,                0.90937,                0.95525,                0.65554,                0.99703,                0.51714,                 1.0842,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0197,                0.57645,                 1.0914,                0.91571,                 0.9252,                0.96157,                0.66068,                0.98842,                0.48946,                  1.078,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.0041,                0.55156,                 1.0887,                0.95376,                0.90693,                0.96052,                0.66844,                 0.9856,                0.47754,                 1.0626,             0.00081688,             0.00081688,             0.00081688
                      9,                0.99937,                 0.5428,                 1.0728,                 0.9386,                0.91901,                0.96863,                0.67844,                0.96995,                0.46257,                 1.0657,               0.000755,               0.000755,               0.000755
                     10,                0.97079,                0.52802,                 1.0698,                0.92214,                0.92559,                0.96809,                 0.6576,                0.99503,                0.45479,                 1.0636,             0.00069313,             0.00069313,             0.00069313
                     11,                0.96177,                0.50858,                 1.0566,                0.95057,                0.92148,                0.97202,                  0.687,                0.94466,                0.43498,                 1.0469,             0.00063125,             0.00063125,             0.00063125
                     12,                0.94847,                0.49668,                 1.0576,                0.94746,                0.93666,                0.97864,                0.69392,                0.94615,                0.42377,                 1.0434,             0.00056938,             0.00056938,             0.00056938
                     13,                0.93168,                0.48122,                 1.0532,                0.94749,                 0.9224,                0.97635,                0.67907,                0.96465,                 0.4301,                 1.0559,              0.0005075,              0.0005075,              0.0005075
                     14,                0.92398,                0.46565,                 1.0417,                0.95831,                0.93497,                0.97642,                0.69768,                0.92431,                0.39824,                 1.0329,             0.00044563,             0.00044563,             0.00044563
                     15,                0.89448,                0.45182,                 1.0348,                0.95844,                0.93318,                0.97619,                0.70108,                0.90723,                0.38939,                 1.0232,             0.00038375,             0.00038375,             0.00038375
                     16,                0.89948,                0.43823,                 1.0326,                0.96282,                 0.9438,                0.98303,                0.70942,                0.89656,                 0.3746,                 1.0213,             0.00032188,             0.00032188,             0.00032188
                     17,                0.89084,                0.43315,                 1.0303,                0.96205,                0.93916,                0.98136,                0.71364,                0.88842,                0.37603,                 1.0165,                0.00026,                0.00026,                0.00026
                     18,                0.85488,                0.41343,                 1.0096,                0.95116,                 0.9541,                 0.9812,                 0.7079,                0.88879,                0.36844,                 1.0188,             0.00019813,             0.00019813,             0.00019813
                     19,                0.85664,                 0.4097,                 1.0154,                0.95589,                0.93876,                0.98068,                 0.7123,                0.88376,                0.35998,                 1.0112,             0.00013625,             0.00013625,             0.00013625
