                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2508,                  1.858,                 1.1273,                0.91679,                0.58504,                0.83656,                0.55713,                 1.0743,                 1.6165,                 1.0287,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.1162,                  1.024,                  1.064,                0.88673,                0.80986,                0.91715,                0.60382,                   1.04,                0.85878,                 1.0156,              0.0008134,              0.0008134,              0.0008134
                      2,                 1.1183,                0.92013,                 1.0686,                0.89492,                0.85636,                0.92892,                 0.6182,                  1.033,                0.73901,                 1.0207,              0.0011971,              0.0011971,              0.0011971
                      3,                  1.092,                0.83055,                 1.0625,                0.90996,                0.84984,                0.93027,                0.59856,                 1.1115,                0.69483,                 1.0719,              0.0011757,              0.0011757,              0.0011757
                      4,                 1.0849,                0.75144,                 1.0615,                 0.9331,                0.88532,                0.94811,                0.63246,                  1.013,                0.60314,                 1.0176,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0621,                0.69908,                 1.0508,                 0.8885,                0.88156,                0.94693,                 0.6254,                 1.0261,                0.60899,                 1.0287,               0.001151,               0.001151,               0.001151
                      6,                 1.0652,                 0.6813,                 1.0525,                0.92784,                0.87406,                0.95152,                0.64804,                0.99731,                0.57121,                 1.0092,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0359,                0.65858,                 1.0382,                0.92579,                0.91096,                0.95789,                0.64633,                 1.0095,                0.55957,                 1.0067,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0259,                0.64115,                 1.0312,                0.93066,                0.87818,                0.95594,                0.66244,                0.96195,                0.54506,                0.99198,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.0268,                0.62027,                 1.0281,                0.92812,                0.89103,                0.95832,                0.65569,                0.97333,                0.51791,                 1.0012,               0.001052,               0.001052,               0.001052
                     10,                 1.0051,                 0.6058,                 1.0308,                0.94789,                0.89514,                0.95907,                0.64866,                0.99989,                0.50941,                 1.0162,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.0015,                0.58982,                 1.0187,                0.92231,                0.90259,                0.96258,                0.67342,                0.94607,                0.49924,                0.98937,              0.0010025,              0.0010025,              0.0010025
                     12,                0.98978,                0.58258,                 1.0164,                0.91912,                0.92264,                0.96109,                0.66091,                0.97921,                0.49884,                 1.0014,             0.00097775,             0.00097775,             0.00097775
                     13,                0.98141,                0.56708,                 1.0169,                0.91679,                 0.9209,                0.96495,                0.64913,                 1.0078,                0.51161,                 1.0094,               0.000953,               0.000953,               0.000953
