                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2334,                 1.3216,                 1.1412,                0.92134,                0.88229,                 0.9412,                0.62056,                 1.0393,                0.62868,                  1.019,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.0974,                0.72833,                 1.0806,                 0.8932,                0.83923,                0.93547,                0.60851,                 1.0843,                0.76867,                 1.0711,             0.00078876,             0.00078876,             0.00078876
                      2,                 1.1074,                0.69322,                 1.0868,                0.91231,                0.84275,                0.93331,                0.58988,                 1.1105,                0.66042,                  1.077,              0.0011231,              0.0011231,              0.0011231
                      3,                  1.082,                0.68732,                 1.0709,                 0.8869,                 0.8621,                0.92707,                0.62046,                 1.0248,                0.61939,                 1.0416,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.0613,                0.65396,                 1.0629,                0.93634,                0.88351,                0.95368,                0.63935,                 1.0544,                0.57048,                 1.0403,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0559,                0.61622,                  1.056,                0.92563,                0.89124,                0.95455,                0.64487,                0.99979,                0.53753,                 1.0236,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0381,                0.60442,                 1.0495,                0.92661,                0.92614,                 0.9645,                0.65914,                0.99106,                0.50195,                 1.0214,             0.00094062,             0.00094062,             0.00094062
                      7,                  1.014,                0.57336,                 1.0395,                0.93623,                0.90584,                0.96813,                0.66704,                0.96672,                0.49764,                 1.0089,             0.00087875,             0.00087875,             0.00087875
                      8,                0.99156,                0.55701,                 1.0311,                0.94739,                0.91338,                0.97441,                0.67133,                0.96946,                0.47342,                 1.0099,             0.00081688,             0.00081688,             0.00081688
                      9,                0.99281,                0.54749,                 1.0256,                0.93774,                0.92263,                0.96942,                0.67807,                0.95192,                0.46843,                0.99706,               0.000755,               0.000755,               0.000755
                     10,                0.97712,                0.53303,                 1.0245,                 0.9531,                0.93081,                0.97336,                0.68374,                0.95694,                0.44735,                0.99731,             0.00069313,             0.00069313,             0.00069313
                     11,                 0.9535,                0.50612,                 1.0064,                0.94252,                0.92962,                 0.9691,                0.68249,                0.94226,                0.44726,                 0.9863,             0.00063125,             0.00063125,             0.00063125
                     12,                0.94365,                0.49988,                  1.004,                0.94184,                0.92832,                0.97249,                0.68333,                0.93513,                0.43715,                0.98261,             0.00056938,             0.00056938,             0.00056938
                     13,                0.92556,                0.48382,                 1.0034,                0.95118,                0.91972,                0.97384,                0.68723,                 0.9516,                0.43352,                0.98568,              0.0005075,              0.0005075,              0.0005075
                     14,                0.92645,                0.47679,                0.99502,                0.95437,                0.92076,                 0.9726,                0.69175,                0.93908,                0.42067,                0.98401,             0.00044563,             0.00044563,             0.00044563
                     15,                0.89165,                0.46116,                0.98826,                0.95684,                0.92268,                0.97524,                0.70125,                0.90546,                0.40309,                0.96878,             0.00038375,             0.00038375,             0.00038375
                     16,                0.90071,                0.44655,                0.98889,                0.95034,                0.94965,                0.97787,                0.69965,                0.91634,                0.39635,                0.97596,             0.00032188,             0.00032188,             0.00032188
                     17,                0.88448,                 0.4422,                0.98383,                0.95035,                0.91288,                 0.9721,                0.70235,                 0.9006,                0.40138,                 0.9649,                0.00026,                0.00026,                0.00026
                     18,                0.85786,                0.42933,                0.96783,                0.96321,                 0.9429,                0.97968,                 0.7035,                0.90047,                0.38044,                0.97125,             0.00019813,             0.00019813,             0.00019813
                     19,                0.86105,                0.42271,                0.97425,                0.96988,                0.92711,                0.98048,                 0.7036,                0.90005,                0.37888,                0.96648,             0.00013625,             0.00013625,             0.00013625
